Title ,ROM,Year,Manufacturer,MAME Set,
ACS8600,altos8600,1981,Altos Computer Systems,Merged,
Act Raiser (Nintendo Super System),nss_actr,1992,Enix,Merged,
ACT-5A,act5a,1980,Micro-Term,Merged,
Act-Fancer Cybernetick Hyper Weapon (World revision 3),actfancr,1989,Data East Corporation,Merged,
Action,action,1993,ADP,Merged,
Action 2000 (Version 3.5E Dual),act2000,1999,Amcoe,Merged,
Action Bank (Barcrest) (MPU4) (ACT 0.7),m4actbnk,199?,Barcrest,Merged,
Action Club (Barcrest) (MPU4) (ABV 1.9),m4actclb,199?,Barcrest,Merged,
Action Fighter (FD1089A 317-0018),afighter,1986,Sega,Merged,
Action Hollywood,actionhw,1995,TCH / Proyesel,Merged,
Action Note (Barcrest) (MPU4) (AN 1.2),m4actnot,199?,Barcrest,Merged,
Action Pack (Barcrest) (MPU4) (AP 0.4),m4actpak,199?,Barcrest,Merged,
Action Replay,amiga_ar1,,,Merged,
Action Replay MK II,amiga_ar2,,,Merged,
Action Replay MK III,amiga_ar3,,,Merged,
Active 8 (Dutch) (Bellfruit) (Scorpion 1),sc1actv8,198?,BFM/ELAM,Merged,
Adam,adam,1982,Coleco,Merged,
ADAM Advanced Digital/Analog Musical Instrument,hohnadam,1994,Hohner,Merged,
Adam Digital Data Pack,adam_ddp,,,Merged,
Adam FDC,adam_fdc,,,Merged,
"Adam FDC (1.44MB 3.5"" Micro Innovations HD-DD)",adam_fdc_mihddd,,,Merged,
Adam FDC (320KB DSDD modification),adam_fdc_320kb,,,Merged,
"Adam FDC (720KB 3.5"" A720DIPI)",adam_fdc_a720dipi,,,Merged,
"Adam FDC (720KB 3.5"" FastPack 720A(T))",adam_fdc_fp720at,,,Merged,
Adam keyboard,adam_kb,,,Merged,
Adam printer,adam_prn,,,Merged,
Adam SPI,adam_spi,,,Merged,
Adaptec AHA-2940AU SCSI controller,aha2940au,,,Merged,
"Add A Note (JPM) (MPS, set 1)",j2adnote,198?,JPM,Merged,
"Addams Family (Barcrest) (MPU5) (v0.5, set 1)",m5addams,199?,Barcrest,Merged,
Addams Family Values (Coin Dropper L-4),afv_l4,1993,Williams,Merged,
Adders & Ladders (Barcrest) (Dutch) (MPU4) (DAL 1.2),m4addrd,199?,Barcrest,Merged,
"Adders & Ladders (Barcrest) (MPU5, v0.6, set 1)",m5addlad,199?,Barcrest,Merged,
Adders & Ladders Classic Club (Barcrest) (MPU4) (ADC 1.1),m4addrcc,199?,Barcrest,Merged,
Adders and Ladders (v2.1) (MPU4 Video),v4addlad,1989,Barcrest,Merged,
Addometer Calculator,addocalc,1980,Addometer Company,Merged,
ADDS 2020,adds2020,1986,Applied Digital Data Systems,Merged,
ADM 12 Video Display Terminal,adm12,1984,Lear Siegler,Merged,
ADM 23 Smart Terminal,adm23,1982,Lear Siegler,Merged,
ADM 36 Video Display Terminal,adm36,1981,Lear Siegler,Merged,
ADM-31 Data Display Terminal,adm31,1978,Lear Siegler,Merged,
"Adonis (0151178, US)",adonisa6,2005,Aristocrat,Merged,
"Adonis (0200751V, NSW/ACT)",adonis,1999,Aristocrat,Merged,
Adrenalin (Mazooma) (Scorpion 4) (set 1),sc4adren,200?,Mazooma,Merged,
"Adults Only (Ukraine, V. 43.23)",adults,2003,Extrema,Merged,
Advanced Bridge Challenger,bridgeca,1979,Fidelity Electronics,Merged,
Advanced Pico BEENA,beena,2005,Sega Toys,Merged,
Advantage! 6050d/6066d,ast6000,1994,AST,Merged,
Advantage! 610/611,ast611,1994,AST,Merged,
Adventure Quiz 2 - Hatena? no Daibouken (Japan 900228),hatena,1990,Capcom,Merged,
Adventure Quiz Capcom World 2 (Japan 920611),cworld2j,1992,Capcom,Merged,
Adventure Vision,advision,1982,Entex,Merged,
"Adventures of Rocky and Bullwinkle and Friends (USA 3.20, display A3.00)",rab_320,1993,Data East,Merged,
