Title ,ROM,Year,Manufacturer,MAME Set,
"Air Hockey (6.12?, encrypted)",dynamoah,199?,Dynamo,Merged,
Air Inferno (World),ainferno,1990,Taito Corporation Japan,Merged,
Air Race (prototype),airrace,1985,Atari Games,Merged,
Air Raid (Single PCB),airraid,1987,Seibu Kaihatsu,Merged,
Air Rescue (World),arescue,1992,Sega,Merged,
Air Trix (Rev A),airtrix,2000,Sega / Hitmaker,Merged,
Air Walkers,airwlkrs,1997,Data East Corporation,Merged,
"Air-Blaster Joystick (AB1500, PAL)",airblsjs,2005,Advance Bright Ltd,Merged,
AiRBase 99,airbase99,1998,JoMoX,Merged,
Airborne (1.6),abv106,1996,Capcom,Merged,
Airborne Avenger,aavenger,1977,Atari,Merged,
"Airline Pilots (Japan, Rev A)",alpilotj,1999,Sega,Merged,
"Airline Pilots (World, Rev B)",alpilot,1999,Sega,Merged,
Airwolf,airwolf,1987,Kyugo,Merged,
Ajax,ajax,1987,Konami,Merged,
Ajofrin City,ajofrin,1981,Recreativos Franco,Merged,
"Aka Mahjong (Double Bet, ver 1 16)",akamj,1990,bootleg (Paradise Electronics),Merged,
Akatsuki Blitzkampf Ausf. Achse (Japan),ausfache,2008,Subtle Style,Merged,
Akazukin (Japan),akazukin,1983,Sigma,Merged,
Akka Arrh (prototype),akkaarrh,1982,Atari,Merged,
Al Capone,alcapone,1981,LTD,Merged,
Al's Garage Band Goes On A World Tour (R01c),wrldtour,1992,Alvin G,Merged,
Aladdin (bootleg of Mega Drive version),aladmdb,1993,bootleg / Sega,Merged,
Aladdin (Scorpion 5),sc5_z059,200?,BFM,Merged,
Aladdin's Cave (Crystal) (MPU4) (set 1),m4aladn,199?,Crystal,Merged,
"Aladdin's Cave (Maygay M2, SW7-536 SW7-465)",mg_alad,1997,Maygay,Merged,
Aladdin's Cave (Mazooma) (Scorpion 4) (set 1),sc4alad,200?,Mazooma,Merged,
Aladdin's Cave (PCP),j80alad,198?,JPM,Merged,
Alantin - Aladdin's Magic Lamp,alantin,1999,bootleg (Robert / Avraam),Merged,
Alaska,r_alaska,1978,Interflip,Merged,
Albert Square (Maygay) v4.1 (M1A/B),m1albsq,1993,Maygay,Merged,
"Alchemist (01J02046, Venezuela)",alchemst,2002,Aristocrat,Merged,
"Alchemy (1J009611, NSW/ACT)",alchemy,2003,Aristocrat,Merged,
Alcon (US),alcon,1986,Toaplan / Taito America Corp.,Merged,
Aleck64 PIF BIOS,aleck64,1998,Nintendo / Seta,Merged,
Alesis QS7 musical keyboard,alesqs7,1996,Alesis,Merged,
"Alex Kidd: The Lost Stars (set 2, unprotected)",alexkidd,1986,Sega,Merged,
Alfaskop Display Unit 4110,alfaskop4110,1984,Ericsson,Merged,
ALG 3DO BIOS,alg3do,1993,American Laser Games / The 3DO Company,Merged,
Algar (L-1),algar_l1,1980,Williams,Merged,
Ali,ali,1980,Stern,Merged,
Ali Baba and 40 Thieves,alibaba,1982,Sega,Merged,
Alice 32,alice32,1984,Matra & Hachette,Merged,
Alien Arena,alienar,1985,Duncan Brown,Merged,
Alien Attack,alnattck,1981,Coleco,Merged,
Alien Challenge (World),aliencha,1994,IGS,Merged,
Alien Chase,alnchase,1984,Tomy,Merged,
Alien Command (v2.1),acommand,1994,Jaleco,Merged,
Alien Crush (United Amusements PC Engine),aliencr,1989,Hudson Soft,Merged,
Alien Front (Rev T),alienfnt,2001,Sega,Merged,
Alien Invaders,alinvade,198?,Forbes?,Merged,
Alien Poker (L-6),alpok_l6,1980,Williams,Merged,
Alien Sector,aliensec,1985,Namco,Merged,
Alien Star,alienstr,1984,Gottlieb,Merged,
Alien Storm (Mega-Tech),mt_astrm,1990,Sega,Merged,
"Alien Storm (World, 2 Players) (FD1094 317-0154)",astorm,1990,Sega,Merged,
"Alien Syndrome (Mega-Tech, SMS based)",mt_asyn,1987,Sega,Merged,
"Alien Syndrome (set 4, System 16B, unprotected)",aliensyn,1987,Sega,Merged,
Alien vs. Predator (Europe 940520),avsp,1994,Capcom,Merged,
Alien: The Arcade Medal Edition (satellite),alien,2005,Capcom,Merged,
Alien3: The Gun (World),alien3,1993,Sega,Merged,
Aliens (World set 1),aliens,1990,Konami,Merged,
AlizBaz (Qps) (German) (MPU4),m4aliz,199?,Qps,Merged,
"All 4 One (Vivid) (MPU5, set 1)",m5all41,199?,Vivid,Merged,
"All American Football (Leland, rev E)",aafb,1989,Leland Corporation,Merged,
All Cash Advance (Barcrest) (MPU4) (C2B 6.0),m4alladv,199?,Barcrest,Merged,
All Fired Up (Barcrest) (MPU5),m5fire,199?,Barcrest,Merged,
All In A Days Work (Global) (set 1),sc1days,199?,Global,Merged,
"All the King's Gold (0152152, US)",atkgld,2007,Aristocrat,Merged,
All-Star Kansha-sai Chou Gouka! Quiz Kettieban: Akasaka 5-choume Taikan Studio (Japan),epo_quiz,2004,Epoch / SSD Company LTD,Merged,
Alley Cat (Maygay) (M1A/B),m1alley,199?,Maygay,Merged,
Alley Cats (Shuffle) (L-7),alcat_l7,1985,Williams,Merged,
Alley Master,alleymas,1986,Cinematronics,Merged,
Allfred,allfred,1998,Stella,Merged,
Alliance Semiconductor ProMotion 3210,promotion3210,,,Merged,
Allied System,allied,1977,Allied Leisure,Merged,
"Alligator Hunt (World, protected, checksum 2B34128B)",aligator,1994,Gaelco,Merged,
Almond Pinky (Japan),mjapinky,1988,Dynax,Merged,
Alone Shettle Crew,shettle,1984,New Digimatic,Merged,
Along The Prom (Bellfruit) (Scorpion 2/3),sc2prom,199?,BFM,Merged,
Alpha Fighter / Head On,alphaho,19??,Data East Corporation,Merged,
Alpha Juno-1 (JU-1) Programmable Polyphonic Synthesizer,ajuno1,1985,Roland,Merged,
Alpha Juno-2 (JU-2) Programmable Polyphonic Synthesizer,ajuno2,1986,Roland,Merged,
Alpha Micro AM-310 Communications Controller,s100_am310,,,Merged,
Alpha Mission II / ASO II - Last Guardian (NGM-007 ~ NGH-007),alpham2,1991,SNK,Merged,
Alpha One (Vision Electronics),alpha1v,1988,Vision Electronics,Merged,
Alphabet (Barcrest) (MPU4) (A4B 1.0),m4alpha,199?,Barcrest,Merged,
AlphaSmart 2000,asma2k,1997,Intelligent Peripheral Devices,Merged,
AlphaSmart 3000,asma3k,2000,"AlphaSmart, Inc.",Merged,
AlphaSmart Pro,asmapro,1995,Intelligent Peripheral Devices,Merged,
AlphaTantel,alphatan,1981,Tantel,Merged,
alphatronic P2,alphatp2,198?,Triumph-Adler,Merged,
alphatronic P3,alphatp3,1982,Triumph-Adler,Merged,
Alphatronic PC (PAL),alphatro,1983,Triumph-Adler,Merged,
alphatronic PC-16,alphatpc16,1985,Triumph-Adler,Merged,
Alphie: The Electronic Robot (patent),alphie,1978,Playskool,Merged,
"Alpine Racer (World, AR2 Ver.D)",alpinerd,1994,Namco,Merged,
"Alpine Racer 2 (World, ARS2 Ver.B)",alpinr2b,1996,Namco,Merged,
Alpine Ski (set 1),alpine,1982,Taito Corporation,Merged,
"Alpine Surfer (World, AF2 Ver.A)",alpines,1996,Namco,Merged,
Alta Tensione (ver. 2.01a),altaten,1999,<unknown>,Merged,
Altair,altair,1981,Cidelsa,Merged,
Altair 680b,mits680b,1976,MITS,Merged,
Altair 8800b,al8800b,1976,MITS,Merged,
Altair 8800bt,al8800bt,1977,MITS,Merged,
Altair II,altair2,198?,Cidelsa,Merged,
Altered Beast (Mega-Tech),mt_beast,1988,Sega,Merged,
Altered Beast (set 8) (8751 317-0078),altbeast,1988,Sega,Merged,
Altered Beast (Tiger),taltbeast,1990,Tiger Electronics,Merged,
Alto I,alto1,1973,Xerox,Merged,
Altos 486,altos486,1984,Altos Computer Systems,Merged,
Altos 5-15,altos5,1982,Altos,Merged,
Altos ACS8600 Intelligent Serial Concentrator,acs8600_ics,,,Merged,
Altos II Keyboard,altos2_kbd,,,Merged,
Altos II Terminal,altos2,1983,Altos Computer Systems,Merged,
Always Eight (Bwb) (MPS),j2always,198?,Bwb,Merged,
Always Nine (Pcp) (set 1) (PROCONN),pr_alwy9,199?,PCP,Merged,
AM 100 Keyboard (MAK-II),am100kbd,,,Merged,
AM-1000,am1000,1988,Alpha Micro,Merged,
Amateurcomputer AC1 Berlin,ac1,1984,Frank Heyder,Merged,
Amaze-A-Tron,amaztron,1978,Coleco,Merged,
Amazing Maze,maze,1976,Midway,Merged,
Amazon Hunt,amazonh,1983,Gottlieb,Merged,
Amazon Hunt II (French),amazonh2,1987,Gottlieb,Merged,
Amazon Hunt III (French),amazonh3,1987,Gottlieb,Merged,
"Amazon Queen (10005511, NSW/ACT)",amzqueen,2001,Aristocrat,Merged,
"Amazon Spirit (Konami Endeavour, NSW)",amazonsp,200?,Konami,Merged,
"Amazon Temple (10299811, NSW/ACT)",amztempl,2009,Aristocrat,Merged,
Amazonia (Ming-Yang Electronic / TSK),amaztsk,2006,Ming-Yang Electronic / TSK,Merged,
Amazonia King (V104BR),amazonia,1999,IGS,Merged,
Amazonia King II (V202BR),amazoni2,2003,IGS,Merged,
Ambassador,aaa,1981,Ann Arbor,Merged,
Ambassador (Barcrest) (Dutch) (MPU4) (DAM 3.7),m4ambass,199?,Barcrest,Merged,
Ambush,ambush,1983,Tecfri,Merged,
Amcoe Link Control Box (Version 2.2),amclink,200?,Amcoe,Merged,
Ameri Darts (set 1),amerdart,1989,Ameri,Merged,
Ameri-Hockey,amerihok,199?,Ameri,Merged,
America 1492,america,1986,Juegos Populares,Merged,
American Aladdin (Avantime?) (MPU4) (set 1),m4amalad,199?,Avantime?,Merged,
"American Beauty (Avantime?) (MPU4) (AB, set 1)",m4abeaut,199?,Avantime?,Merged,
American Dream (Mdm) (IMPACT),j6amdrm,199?,Mdm,Merged,
American Highway (Barcrest) (Dutch) (MPU4) (DAH 2.0),m4amhiwy,199?,Barcrest,Merged,
American Horseshoes (US),horshoes,1990,Taito America Corporation,Merged,
American Laser Games BIOS,alg_bios,199?,American Laser Games,Merged,
American Music Poker (V1.4),amusco,1987,Amusco,Merged,
American Poker II,ampoker2,1990,Novomatic,Merged,
American Speedway (set 1),amspdwy,1987,Enerdyne Technologies Inc.,Merged,
Americana (9131-01),americna,1987,Merit,Merged,
Amico 2000,amico2k,1978,A.S.E.L.,Merged,
Amidar,amidar,1982,Konami,Merged,
Amiga 1000 (PAL),a1000,1985,Commodore,Merged,
Amiga 1000 Keyboard (U.S./Canada),a1000kbd_us,,,Merged,
Amiga 1200 (PAL),a1200,1992,Commodore,Merged,
Amiga 1200 Keyboard Rev B,a1200kbd_rb,,,Merged,
Amiga 2000 (PAL),a2000,1987,Commodore,Merged,
Amiga 2000 Keyboard (Cherry - U.S./Canada),a2000kbd_g80_us,,,Merged,
Amiga 2000/3000/4000 Keyboard (U.S./Canada),a2000kbd_us,,,Merged,
Amiga 3000 (PAL),a3000,1990,Commodore,Merged,
Amiga 4000/040 (PAL),a4000,1992,Commodore,Merged,
Amiga 4000T (PAL),a4000t,1994,Commodore,Merged,
Amiga 500 (PAL),a500,1987,Commodore,Merged,
Amiga 500 Plus (PAL),a500p,1992,Commodore,Merged,
Amiga 600 (PAL),a600,1992,Commodore,Merged,
Amiga CD32 (PAL),cd32,1993,Commodore,Merged,
Aminosan (satellite),aminosan,2010,Sega,Merged,
Ampex 210 plus Terminal (v3.0),ampex210p,1988,Ampex,Merged,
Ampex 230 Keyboard,ampex230_kbd,,,Merged,
Ampex 230 plus Terminal (v4.0),ampex230p,1988,Ampex,Merged,
AMPS Car Phone,ampscarp,1998,Motorola,Merged,
"AMS 3"" Microdrive Disc System",bbc_ams3,,,Merged,
Amstar Draw Poker,adpoker,198?,Amstar?,Merged,
Amstrad CPC464,cpc464,1984,Amstrad plc,Merged,
Amstrad DDI-1,cpc_ddi1,,,Merged,
Amstrad PC1512 Keyboard,pc1512kb,,,Merged,
Amstrad PC1640 IGA,pc1640_iga,,,Merged,
Amstrad RS232C interface,cpc_serams,,,Merged,
Amstrad SSA-1,cpc_ssa1,,,Merged,
Amtech Blue Chip Disk Drive,bluechip,,,Merged,
Amuse (Version 50.08 IBA),amuse,1982,Greyhound Electronics,Merged,
Amust Executive 816,amust,1983,Amust,Merged,
AN1x Control Synthesizer,an1x,1997,Yamaha,Merged,
Ancient Atlantis (set 1),ancienta,2002?,Novotech,Merged,
Andro Dunos (NGM-049 ~ NGH-049),androdun,1992,Visco,Merged,
"Android (prototype, later build)",androidp,1987,Nasco,Merged,
Andromeda (set 1),andromep,1985,Game Plan,Merged,
Andromeda SS (Japan?),andromed,1980,Irem,Merged,
Andy Capp (Barcrest) (Dutch) (MPU4) (DAC 1.3),m4andycpdut,199?,Barcrest,Merged,
Andy Capp (BWB / Barcrest) (MPU4) (AC10),m4andycp,1994,BWB,Merged,
Andy Loves Flo (BWB / Barcrest) (MPU4) (AL4 2.1 KS),m4andyfl,1996,BWB,Merged,
Andy's Big Time Club (Barcrest) (MPU4) (ABT 1.8),m4andybt,199?,Barcrest,Merged,
Andy's Full House (Barcrest) (MPU4) (AFH 0.1),m4andyfh,199?,Barcrest,Merged,
"Andy's Great Escape (Barcrest) (MPU4) (AN2 0.3, set 1)",m4andyge,1991,Barcrest,Merged,
Angel Kids (Japan),angelkds,1988,Sega / Nasco?,Merged,
Angler Dangler (DECO Cassette) (US),cadanglr,1982,Data East Corporation,Merged,
"Angler King (Japan, AG1 Ver. A)",aking,1998,Namco,Merged,
Animal Basket / Hustle Tamaire Kyousou (24 Jan 2005),anmlbskt,2005,MOSS / Sammy,Merged,
Animal Bonus (Version 1.8E Dual),anibonus,2003,Amcoe,Merged,
Animal Bonus Nudge (Version 2.1 Dual),abnudge,2003,Amcoe,Merged,
Animal Catch,animalc,2000,Sammy,Merged,
"Animal House (V1.0, set 1)",animalhs,1991,Suns Co Ltd.,Merged,
Animal Kaiser - The King Of Animals (ANA1004-NA-B),animalk,2009,Namco,Merged,
"Animal Kaiser - The King of Animals (Evo 1, ANA2004-NA-A)",animalke1,2011,Namco,Merged,
"Animal Kaiser - The King of Animals (Evo 2, ANA2004-NA-A)",animalke2,2011,Namco,Merged,
"Animal Kaiser - The King of Animals (Evo 8, ANA2004-NA-A)",animalke8,2011,Namco,Merged,
"Animal Kaiser - The King of Animals (unknown Evo, ANA2004-NA-A)",animalkeu,2011,Namco,Merged,
"Animal Treasure Hunt (Version 1.9R, set 1)",anithunt,2003,Amcoe,Merged,
Animal Wonders (ver A900 66),animalw,199?,GPS,Merged,
Anime Champ (GCA07 VER. JAA),animechmp,2000,Konami,Merged,
"Another World (Japan, V1.8)",anoworld,1989,Sunwise,Merged,
Anpanman Color PC (Japan),anpncpc,2009,Bandai,Merged,
Anpanman CommuTouch,anpanmct,2007,Banpresto,Merged,
Anpanman Kazoku de! Ikunou Mat DX (Japan),anpanmdx,2011,JoyPalette / SSD Company LTD,Merged,
Anpanman Pyon-Pyon Ikunou Mat (Japan),apmj2009,2009,JoyPalette / SSD Company LTD,Merged,
Anpanman TV (Japan),anpantv,2006,Bandai,Merged,
Anpanman: Let's Go! Ikunou Drive (Japan),anpanbd,2014,JoyPalette,Merged,
Anpanman: Minnade! Ikunou Mat (Japan),anpanm15,2015,JoyPalette,Merged,
Anpanman: Sports Ikunou Mat (Japan),anpanm19,2019,JoyPalette,Merged,
Anpanman: Touch de Asobo! Hajimete English (Japan),anpaneng,2013,Sega Toys,Merged,
Ant & Dec's Grab The Ads (Bellfruit) (Scorpion 5) (set 1),sc5adga,200?,BFM,Merged,
Ant & Dec's Grab The Cash (Bellfruit) (Scorpion 5) (set 1),sc5adgtc,200?,BFM,Merged,
Ant & Dec's Jiggy Bank (Bellfruit) (Scorpion 4) (set 1),sc4adjb,200?,BFM,Merged,
Ant & Dec's Jiggy Bank (Bellfruit) (Scorpion 5) (set 1),sc5adjb,200?,BFM,Merged,
Ant & Dec's Saturday Night Takeaway (Bellfruit) (Scorpion 4) (set 1),sc4adsnt,200?,BFM,Merged,
Ant & Dec's Saturday Night Takeaway (Bellfruit) (Scorpion 5) (set 1),sc5adsnt,200?,BFM,Merged,
Ant & Dec's Saturday Night Takeaway Win The Ads (Bellfruit) (Scorpion 4) (set 1),sc4adwta,200?,BFM,Merged,
Ant & Dec's Saturday Night Takeaway Win The Ads (Bellfruit) (Scorpion 5) (set 1),sc5adwta,200?,BFM,Merged,
ANT Ethernet 10base2 mini-podule,arc_ethera,,,Merged,
"Antar (Playmatic, set 1)",antar,1979,Playmatic,Merged,
Antar (Recel),r_antar,1980,Recel,Merged,
Anteater,anteater,1982,Tago Electronics,Merged,
Anti-Aircraft,antiairc,1975,Atari,Merged,
Antonelli 2495,anto2495,198?,Antonelli,Merged,
Antonelli 2614,anto2614,198?,Antonelli,Merged,
"Antony and Cleopatra (10163211, NSW/ACT)",antcleo,2004,Aristocrat,Merged,
AP43 (SiS 85C496/85C497),aoap43,199?,AOpen,Merged,
Apache (Barcrest) (MPU4 w/ Plasma DMD?),m4apach,199?,Barcrest,Merged,
Apache 3 (rev F),apache3,1988,Tatsumi,Merged,
"Apache Gold (Empire) (MPU4, set 1)",m4apachg,199?,Empire,Merged,
APB - All Points Bulletin (rev 7),apb,1987,Atari Games,Merged,
APC,apc,1982,NEC,Merged,
APF M-1000,apfm1000,1978,APF Electronics Inc.,Merged,
"Apollo 13 (CPU 5.01, display A5.00)",apollo13,1995,Sega,Merged,
Apollo 13 (Tiger),tapollo13,1995,Tiger Electronics,Merged,
Apollo 9 (Maygay) vA.1 (Newer) (M1A/B),m1apollo,1997,Maygay,Merged,
"Apollo Coffee (0151105, US)",apocof,2003,Aristocrat,Merged,
Apollo DN3500,dn3500,1989,Apollo,Merged,
Apparel Night (Japan 860929),apparel,1986,Central Denshi,Merged,
Apple ][,apple2,1977,Apple Computer,Merged,
Apple ///,apple3,1980,Apple Computer,Merged,
Apple //c,apple2c,1984,Apple Computer,Merged,
Apple //e,apple2e,1983,Apple Computer,Merged,
Apple 10 (Ver 1.21),apple10,1998,Sandii',Merged,
Apple ADB Modem,adbmodem,,,Merged,
Apple Cuda Lite ADB+I2C+PS/2,cudalite,,,Merged,
Apple Cuda v2.xx ADB/I2C,cuda,,,Merged,
Apple Cuda v3.02 ADB/I2C,cuda302,,,Merged,
Apple Disk II floppy controller,d2fdc,,,Merged,
Apple Disk II IWM controller,a2iwm,,,Merged,
Apple Disk II NG controller (13-sector),diskii13,,,Merged,
Apple Disk II NG controller (16-sector),a2diskiing,,,Merged,
Apple Egret ADB/I2C,egret,,,Merged,
Apple Ethernet LC Card,enetlc,,,Merged,
Apple Ethernet LC Twisted-Pair Card,enetlctp,,,Merged,
Apple Ethernet NB Twisted-Pair Card,enetnbtp,,,Merged,
Apple I,apple1,1976,Apple Computer,Merged,
Apple I cassette board,a1cass,,,Merged,
"Apple II 3.5"" Disk Controller Card",a2superdrive,,,Merged,
Apple II High-Speed SCSI Card,a2hsscsi,,,Merged,
Apple II IEEE-488 Interface,a2ieee488,,,Merged,
Apple II Memory Expansion Card,a2memexp,,,Merged,
Apple II Mouse Card,a2mouse,,,Merged,
Apple II Parallel Interface Card,a2pic,,,Merged,
Apple II Parallel Printer Interface Card,a2parprn,,,Merged,
Apple II ROM Card (Applesoft BASIC),a2romfp,,,Merged,
Apple II ROM Card (Integer BASIC),a2romint,,,Merged,
Apple II SCSI Card,a2scsi,,,Merged,
Apple II SD Card,a2sd,,,Merged,
Apple IIgs (ROM03),apple2gs,1989,Apple Computer,Merged,
Apple III floppy controller,a3fdc,,,Merged,
Apple Macintosh Display Card 4/8 (MDC 1.0.1),nb_mdc48,,,Merged,
Apple Macintosh Display Card 8/24 (MDC 1.2),nb_mdc824,,,Merged,
Apple Macintosh II High Resolution Video Card,nb_m2hr,,,Merged,
Apple Macintosh II Video Card,nb_m2vc,,,Merged,
Apple NuBus Ethernet card,nb_aenet,,,Merged,
Apple Super Serial Card,a2ssc,,,Merged,
AppleCD 150,aplcd150,,,Merged,
Applesurance Diagnostic Controller,a2surance,,,Merged,
Applied Engineering Quadralink serial card,nb_qdlink,,,Merged,
Applied Engineering RamFactor,a2ramfac,,,Merged,
Applied Engineering TimeMaster H.O.,a2tmstho,,,Merged,
Applied Engineering TransWarp,a2twarp,,,Merged,
Applied Engineering Viewmaster 80,a2aevm80,,,Merged,
Applied Engineering Vulcan Gold IDE controller (IIgs version),a2vulgld,,,Merged,
Applied Engineering Vulcan IDE controller (//e version),a2vuliie,,,Merged,
Applied Engineering Vulcan IDE controller (IIgs version),a2vulcan,,,Merged,
Applix 1616,applix,1986,Applix Pty Ltd,Merged,
Appoooh,appoooh,1984,Sanritsu / Sega,Merged,
AppoTech AX208 (AXC51-CORE),ax208,,,Merged,
AppoTech AX208 (AXC51-CORE) (prototype?),ax208p,,,Merged,
Apricorn Super Serial Imager,aprissi,,,Merged,
Apricot F1,f1,1984,ACT,Merged,
Apricot PC/Xi,apricot,1983,ACT,Merged,
Apricot Portable / FP,fp,1984,ACT,Merged,
Apricot XEN,apxen,1985,ACT,Merged,
Aqua Jack (World),aquajack,1990,Taito Corporation Japan,Merged,
"Aqua Jet (World, AJ2 Ver.B)",aquajet,1996,Namco,Merged,
"Aqua Rush (Japan, AQ1/VER.A1)",aquarush,1999,Namco,Merged,
Aqua Stage,aquastge,1995,Sega,Merged,
Aqualand (set 1),aqualand,1986,Juegos Populares,Merged,
Aquarium (US),aquarium,1996,Excellent System,Merged,
Aquarius (NTSC),aquarius,1983,Mattel Electronics,Merged,
"AR Dance Mat (Model DM02, YRPRSODF)",ardancem,202?,Shen Zhen Shi Fei Xun Hu Dong Technology,Merged,
Arabian,arabian,1983,Sun Electronics,Merged,
Arabian Fight (World),arabfgt,1991,Sega,Merged,
Arabian Jewel (MDA-C0090),arajewel,2010,Sega,Merged,
Arabian Magic (Ver 1.0O 1992/07/06),arabianm,1992,Taito Corporation Japan,Merged,
"Arabian Nights (2J008211, NSW/ACT)",arabnga6,2001,Aristocrat,Merged,
Arabian Nights (Barcrest) (MPU5) (set 1),m5arab,199?,Barcrest,Merged,
Arbalester,arbalest,1989,Jordan I.S. / Seta,Merged,
Arcade Center - 30-in-1 (JL1800_01),lexi30,2012,Lexibook,Merged,
Arcade Center - 60-in-1 (JL1810GR),jl1810gr,2012,Lexibook,Merged,
Arcade Classics (prototype),arcadecl,1992,Atari Games,Merged,
Arcade Classics Mini Handheld Arcade (Supreme 150),supreme,201?,Fizz Creations,Merged,
Arcade Gold featuring Pac-Man (20 APR 2007 A SKU O),jak_pacg,2007,JAKKS Pacific Inc / Namco / HotGen Ltd,Merged,
"Arcadia (JPM) (IMPACT) (AR9 C10, V9, set 1)",j6arcade,199?,JPM,Merged,
Arcadia (NMK),arcadian,1994,NMK,Merged,
Arcadia System BIOS,ar_bios,1988,Arcadia Systems,Merged,
Arcana Heart,acheart,2005,Examu,Merged,
Arcana Heart Full,acheartf,2006,Examu,Merged,
Arch Rivals (rev 4.0 6/29/89),archrivl,1989,Bally Midway,Merged,
Archimedes 310,aa310,1987,Acorn Computers,Merged,
Archimedes Dual RS423 Serial Interface,arc_rs423,,,Merged,
Arctic Thunder (v1.002),arctthnd,2001,Midway Games,Merged,
"Arctic Wins - Mr. Cashman (0151065, US)",arwincm,2003,Aristocrat,Merged,
"Arctic Wins (4XF5227H04, US)",arcwins,1996,Aristocrat,Merged,
Arcturus sidecar cartridge,ti99_arcturus,,,Merged,
Are You Smarter than a 5th Grader? (JAKKS Pacific TV Game),jak_5thg,2007,JAKKS Pacific Inc / Handheld Games,Merged,
Area 51 (R3000),area51,1996,Atari Games,Merged,
Area 51 / Maximum Force Duo v2.0,area51mx,1998,Atari Games,Merged,
"Area 51: Site 4 (HD Rev 2.01, September 7, 1998)",a51site4,1998,Atari Games,Merged,
Arena,arena,1987,Gottlieb,Merged,
Argus,argus,1986,NMK (Jaleco license),Merged,
"Argus (Gottlieb, prototype)",argusg,1984,Gottlieb,Merged,
Aries-B20 RAM expansion (w/ Aries-B12),bbc_ariesb20,,,Merged,
Aries-B32 RAM expansion (w/ Aries-B12),bbc_ariesb32,,,Merged,
"Arishinko (0151087, US)",arish,2003,Aristocrat,Merged,
Aristocrat (Shuffle) (L-1),arist_l1,1978,Williams/United,Merged,
Aristocrat MK-7 BIOS,aristmk7,2006?,Aristocrat,Merged,
Arizona,arizona,1981,LTD,Merged,
Ark Area,arkarea,1988,UPL,Merged,
Arkanoid - Revenge of DOH (World),arknoid2,1987,Taito Corporation Japan,Merged,
"Arkanoid (World, older)",arkanoid,1986,Taito Corporation Japan,Merged,
Arkanoid Returns (Ver 2.02O 1997/02/10),arkretrn,1997,Taito Corporation,Merged,
Arlington Horse Racing (v1.40-D),arlingtn,1991,Strata / Incredible Technologies,Merged,
Arm Champs (Japan),armchamp,1988,Jaleco / Yuvo,Merged,
Arm Champs II (ver 2.7),armchmp2,1992,Jaleco,Merged,
ARM Evaluation System,bbc_tube_arm,,,Merged,
Arm Wrestling,armwrest,1985,Nintendo,Merged,
Armada (Dutch) (Bellfruit) (Scorpion 1),sc1armad,198?,BFM/ELAM,Merged,
"Armadillo Racing (World, AM2 Ver.A)",adillor,1997,Namco,Merged,
Armadillo Systems A448 Sound Sampler,arc_a448,,,Merged,
Armadillo Systems A448b Stereo MIDI Sound Sampler,arc_a448b,,,Merged,
Armed F (Japan),armedf,1988,Nichibutsu,Merged,
Armed Police Batrider (Europe) (Fri Feb 13 1998),batrider,1998,Raizing / Eighting,Merged,
Armor Attack,armora,1980,Cinematronics,Merged,
Armored Car (set 1),armorcar,1981,Stern Electronics,Merged,
Armored Warriors (Europe 941024),armwar,1994,Capcom,Merged,
Arnold Palmer Tournament Golf (Mega-Tech),mt_tgolf,1989,Sega,Merged,
Around The Board In 40 Days (Mazooma) (Scorpion 4) (set 1),sc4a40,200?,Mazooma,Merged,
Around The Board In 40 Days (Mazooma) (Scorpion 5) (set 1),sc5a40,200?,Mazooma,Merged,
Around The Board In 40 Days Club (Mazooma) (Scorpion 4) (set 1),sc4a40cl,200?,Mazooma,Merged,
Around The World,pl6_atw,2014,JPM,Merged,
Around The World (Version 1.4R CGA),atworld,2007,Amcoe,Merged,
"Around The World Club (JPM) (SYSTEM5, set 1)",j5ar80cl,199?,JPM,Merged,
Around The World In Eighty Days (Crystal) (sp.ACE?),sp_atw,199?,Crystal,Merged,
"Around The World In Eighty Days (JPM) (SYSTEM5, set 1)",j5ar80,199?,JPM,Merged,
Arrange Ball,arrball,1980,A-One LSI,Merged,
Arrow Bingo,avtbingo,1985,Advanced Video Technology,Merged,
Arrow Flash (Mega-Tech),mt_arrow,1990,Sega,Merged,
Art of Fighting / Ryuuko no Ken (NGM-044 ~ NGH-044),aof,1992,SNK,Merged,
Art of Fighting 2 / Ryuuko no Ken 2 (NGM-056),aof2,1994,SNK,Merged,
Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden,aof3,1996,SNK,Merged,
Artecon SB-300P 3S/1P controller,sb300p,,,Merged,
Arthur's Knights,arthurkn,200?,LGT,Merged,
AS-1 Controller (set 1),as1,1993,Sega,Merged,
Asante MacCON i LC Ethernet card,pdslc_macconlc,,,Merged,
