Release Type,Name,Title,Foreign Title,Serial
Redump,Assassin's Creed - Bloodlines (Korea),Assassin's Creed: Bloodlines,어쌔신 크리드: 블러드라인,ULKS 46231
Redump,"Assassin's Creed - Bloodlines (USA) (En,Fr,De,Es,It)",Assassin's Creed: Bloodlines,,ULUS-10455
Redump,"Asterix & Obelix XXL 2 (Europe) (En,Fr,De,Es,It,Nl)",Astérix & Obélix XXL 2,Astérix & Obélix XXL 2: Mission: Wifix,ULES-00527
Redump,Astonishia Story (Europe),Astonishia Story,,ULES-00363
Redump,Astonishia Story (Korea),Astonishia Story,어스토니시아 스토리,ULKS-46021
Redump,Astonishia Story (USA),Astonishia Story,,ULUS-10083
Redump,Astonishia Story 2 (Korea),Astonishia Story 2,어스토니시아 스토리2,ULKS-46142
Redump,"Astro Boy - The Video Game (Europe) (En,Fr,De,Es,It)",Astro Boy: The Video Game,,ULES-01345
Redump,"Astro Boy - The Video Game (USA) (En,Fr,Es,It,Nl)",Astro Boy: The Video Game,,ULUS-10454
Redump,Atari Classics Evolved (USA),Atari Classics Evolved,,ULUS-10325
Redump,Atari Classics Evolved (USA) (Beta) (2007-09-28),Atari Classics Evolved,,ULUS-10325
Redump,"ATV Offroad Fury - Blazin' Trails (Europe) (En,Fr,De,Es,It)",ATV Offroad Fury: Blazin' Trails,,ULES-00155
Redump,ATV Offroad Fury - Blazin' Trails (USA),ATV Offroad Fury: Blazin' Trails,,UCUS-98603
Redump,"ATV Offroad Fury Pro (Europe) (En,Fr,De,Es,It,Pt,Pl,Ru,El)",ATV Offroad Fury Pro,,UCES-00786/E
Redump,ATV Offroad Fury Pro (USA),ATV Offroad Fury Pro,,UCUS-98648
Redump,ATV Offroad Fury Pro (USA) (Beta) (v0.30) (2006-09-04),ATV Offroad Fury Pro,,UCUS-98648
Redump,ATV Offroad Fury Pro (USA) (Beta) (v1.00) (2007-01-31),ATV Offroad Fury Pro,,UCUS-98648
Redump,ATV Offroad Fury Pro (USA) (Demo),ATV Offroad Fury Pro,,UCUS 98681
Redump,Audition Portable (Korea),Audition Portable,오디션　포터블,ULKS 46122
Redump,Autoescuela Aprueba Conmigo (Spain),Autoescuela Aprueba Conmigo,,ULES-01366
Redump,Ayakashibito - Gen'you Ibunroku Portable (Japan),Ayakashibito: Genyou Ibunroku Portable,あやかしびとー幻妖異聞録ーＰＯＲＴＡＢＬＥ,ULJM 05426
Redump,Bakemonogatari Portable (Japan),Bakemonogatari Portable,化物語 ポータブル,ULJS 00507
Redump,Bakemonogatari Portable (Japan),Bakemonogatari Portable,化物語 ポータブル,ULJS 00508
Redump,Bakudan Handan (Japan),,,ULJM 06099
Redump,"Bakugan - Defenders of the Core (Europe) (En,Fr,De,Es,It,Nl,Sv)",Bakugan: Defenders of the Core,,ULES-01466
Redump,"Bakugan - Defenders of the Core (USA) (En,Fr)",Bakugan: Defenders of the Core,,ULUS-10536
Redump,Bakumatsu Rock - Ultra Soul (Japan),,,MARV-06387
Redump,Bakumatsu Rock - Ultra Soul (Japan),,,ULJM 06388
Redump,Bakumatsu Rock (Japan),Bakumatsu Rock,幕末Rock,ULJS 00598
Redump,"Baku-No (Japan, Asia)",Baku-No,ＡＩ爆弾解除アクション　爆脳,UCAS 40017
Redump,"Baku-No (Japan, Asia)",Baku-No,ＡＩ爆弾解除アクション　爆脳,ULJS 00017
Redump,Bamboo Blade - Sorekara no Chousen (Japan),,,ULJM 05462
Redump,Bara no Ki ni - Bara no Hanasaku (Japan),Bara no Ki ni: Bara no Hanasaku,薔薇ノ木ニ薔薇ノ花咲ク,ULJM 05802
Redump,Battle Dodgeball 3 (Japan),Battle Dodgeball 3,バトルドッジボール３,ULJS 00468
Redump,Battle Royal (India),Battle Royal,,UCES-01496
Redump,Battle Spirits - Kiseki no Hasha (Japan),Battle Spirits: Kiseki no Hasha,バトルスピリッツ　輝石の覇者,ULJS 00238
Redump,"Battle vs. Chess (Europe) (En,Fr,De,Es,It,Pl,Ru) (Proto) (2011-12-15)",Battle vs. Chess,,ULES-01517
Redump,"BattleZone (Europe) (En,Fr,De,Es,It)",BattleZone,,ULES-00522
Redump,BattleZone (USA),BattleZone,,ULUS-10156
Redump,B-Boy (Europe) (Demo),B-Boy,,UCED-00432
Redump,B-Boy (Europe) (Demo),B-Boy,,UCED-00432/9681373
Redump,"B-Boy (Europe) (En,Fr,De,Es,It)",B-Boy,,UCES-00249
Redump,B-Boy (USA),B-Boy,,ULUS 10363
Redump,"Beaterator (Europe, Australia) (En,Fr,De,Es,It)",Beaterator,,ULES-01023
Redump,Beaterator (USA),Beaterator,,ULUS-10405
Redump,Beit Hell 2000 (Japan),Beit Hell 2000,バイトヘル２０００,UCJS 10022
Redump,"Ben 10 - Alien Force - Vilgax Attacks (Europe) (En,Fr,De,Es,It)",Ben 10: Alien Force: Vilgax Attacks,,ULES-01358
Redump,Ben 10 - Alien Force - Vilgax Attacks (USA),Ben 10: Alien Force: Vilgax Attacks,,ULUS-10488
Redump,"Ben 10 - Alien Force (Europe) (En,Fr,De,Es,It)",Ben 10: Alien Force,,ULES-01189
Redump,"Ben 10 - Alien Force (USA) (En,Fr,De,Es,It)",Ben 10: Alien Force,,ULUS-10387
Redump,Ben 10 - Protector of Earth (Europe),Ben 10: Protector of Earth,,ULES-00905
Redump,"Ben 10 - Protector of Earth (Europe) (En,Fr,De,Es,It)",Ben 10: Protector of Earth,,ULES-00906
Redump,Ben 10 - Protector of Earth (USA),Ben 10: Protector of Earth,,ULUS-10307
Redump,"Ben 10 - Ultimate Alien - Cosmic Destruction (Europe) (En,Fr,De,Es,It)",Ben 10: Ultimate Alien: Cosmic Destruction,,ULES-01471
Redump,Ben 10 - Ultimate Alien - Cosmic Destruction (USA),Ben 10: Ultimate Alien: Cosmic Destruction,,ULUS 10542
Redump,"Beowulf - The Game (Europe) (En,Fr,De,Es,It)",Beowulf: The Game,,ULES-00992
Redump,"Beowulf - The Game (USA) (En,Fr,De,Es,It)",Beowulf: The Game,,ULUS-10329
Redump,Beta Bloc (Italy),Beta Bloc,,ULES-00792
Redump,"Bigs 2, The (USA)",The Bigs 2,,ULUS-10448
Redump,"Bigs, The (USA)",The Bigs,,ULUS-10284
Redump,Biz Taiken Series - Kigyoudou (Japan),,,ULJS 00050
Redump,Black Code (Japan),,,ULJM 06370
Redump,Black Robinia (Japan),,,ULJM 05826
Redump,Black Rock Shooter - The Game (Japan),Black Rock Shooter: The Game,ブラック★ロック シューター THE GAME,JRPG 00001
Redump,Black Rock Shooter - The Game (Japan),Black Rock Shooter: The Game,ブラック★ロック シューター THE GAME,ULJM 05859
Redump,Black Wolves Saga - Last Hope (Japan),Black Wolves Saga: Last Hope,ブラック　ウルヴス　サーガ　ラストホープ,ULJM 06219
Redump,Black Wolves Saga - Last Hope (Japan),Black Wolves Saga: Last Hope,ブラック　ウルヴス　サーガ　ラストホープ,ULJM 06220
Redump,"Blade Dancer - Lineage of Light (Europe) (En,Fr,De,Es,It)",Blade Dancer: Lineage of Light,,ULES-00541
Redump,Blade Dancer - Lineage of Light (USA),Blade Dancer: Lineage of Light,,ULUS-10124
Redump,Blade Dancer - Sennen no Yakusoku (Japan),Blade Dancer: Sennen no Yakusoku,ブレイドダンサー　～千年の約束～,UCJS 10021
Redump,"BlazBlue - Calamity Trigger (Europe) (En,Ja,Fr,De,Es,Zh,Ko)",BlazBlue: Calamity Trigger,,ULES-01497
Redump,"BlazBlue - Calamity Trigger (USA) (En,Ja,Zh,Ko)",BlazBlue: Calamity Trigger,,ULUS-10519
Redump,BlazBlue - Calamity Trigger Portable (Japan),BlazBlue: Calamity Trigger Portable,,ULJM 05613
Redump,BlazBlue - Continuum Shift Extend (Japan),,,ULJM 06061
Redump,"BlazBlue - Continuum Shift II (Asia) (En,Ja,Zh,Ko)",BlazBlue: Continuum Shift II,ブレイブルー コンティニュアムシフト II,UCAS-40337
Redump,"BlazBlue - Continuum Shift II (Europe) (En,Ja,Zh,Ko)",BlazBlue: Continuum Shift II,,ULES-01526
Redump,BlazBlue - Continuum Shift II (Japan),BlazBlue: Continuum Shift II,ブレイブルー　コンティニュアムシフト　Ⅱ,ULJM 05850
Redump,BlazBlue - Continuum Shift II (USA) (Beta) (2011-02-28),BlazBlue: Continuum Shift II,,ULUS-10579
Redump,"BlazBlue - Continuum Shift II (USA) (En,Ja,Zh,Ko)",BlazBlue: Continuum Shift II,,ULUS-10579
Redump,Blaze Union - Story to Reach the Future (Japan),,,ULJM 05503
Redump,Blazing Souls Accelate (Europe),Blazing Souls Accelate,,ULES-01562
