Release Type,Name,Domestic Title,Overseas Title,Product No.,Date,Hardware Designation,Company Code,Disc Type,Version,I/O Devices,Region
Redump,Sing!! Sega Game Music Presented by B. B. Queens (Japan),QUIZ SCRAMBLE SPECIAL,,T-60064,1992.FEB,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,J
Redump,Slam City with Scottie Pippen (Europe) (Disc 1) (Fingers),Slam City with Scottie Pippen,Slam City with Scottie Pippen,T-162035,1995.FEB,SEGA GENESIS,(C)T-162,GM,50,J,8
Redump,Slam City with Scottie Pippen (Europe) (Disc 1) (Fingers) (Mega-CD 32X),Slam City with Scottie Pippen,Slam City with Scottie Pippen,T-16204F,1995.FEB,SEGA 32X,(C)T-162,GM,50,J,8
Redump,Slam City with Scottie Pippen (Europe) (Disc 2) (Juice),Slam City with Scottie Pippen,Slam City with Scottie Pippen,T-162035,1995.FEB,SEGA GENESIS,(C)T-162,GM,50,J,8
Redump,Slam City with Scottie Pippen (Europe) (Disc 2) (Juice) (Mega-CD 32X),Slam City with Scottie Pippen,Slam City with Scottie Pippen,T-16204F,1995.FEB,SEGA 32X,(C)T-162,GM,50,J,8
Redump,Slam City with Scottie Pippen (Europe) (Disc 3) (Mad Dog),Slam City with Scottie Pippen,Slam City with Scottie Pippen,T-162035,1995.FEB,SEGA GENESIS,(C)T-162,GM,50,J,8
Redump,Slam City with Scottie Pippen (Europe) (Disc 3) (Mad Dog) (Mega-CD 32X),Slam City with Scottie Pippen,Slam City with Scottie Pippen,T-16204F,1995.FEB,SEGA 32X,(C)T-162,GM,50,J,8
Redump,Slam City with Scottie Pippen (Europe) (Disc 4) (Smash),Slam City with Scottie Pippen,Slam City with Scottie Pippen,T-162035,1995.FEB,SEGA GENESIS,(C)T-162,GM,50,J,8
Redump,Slam City with Scottie Pippen (Europe) (Disc 4) (Smash) (Mega-CD 32X),Slam City with Scottie Pippen,Slam City with Scottie Pippen,T-16204F,1995.FEB,SEGA 32X,(C)T-162,GM,50,J,8
Redump,Slam City with Scottie Pippen (USA) (Disc 1) (Fingers),Slam City with Scottie Pippen,Slam City with Scottie Pippen,T-162035,1994.NOV,SEGA GENESIS,(C)T-162,GM,0,J,U
Redump,Slam City with Scottie Pippen (USA) (Disc 1) (Fingers) (Sega CD 32X),Slam City with Scottie Pippen,Slam City with Scottie Pippen,T-16204F,1995.FEB,SEGA GENESIS,(C)T-162,GM,0,J,4
Redump,Slam City with Scottie Pippen (USA) (Disc 2) (Juice) (Sega CD 32X),Slam City with Scottie Pippen,Slam City with Scottie Pippen,T-16204F,1995.FEB,SEGA GENESIS,(C)T-162,GM,0,J,4
Redump,Slam City with Scottie Pippen (USA) (Disc 3) (Mad Dog),Slam City with Scottie Pippen,Slam City with Scottie Pippen,T-162035,1994.NOV,SEGA GENESIS,(C)T-162,GM,0,J,U
Redump,Slam City with Scottie Pippen (USA) (Disc 3) (Mad Dog) (Sega CD 32X),Slam City with Scottie Pippen,Slam City with Scottie Pippen,T-16204F,1995.FEB,SEGA GENESIS,(C)T-162,GM,0,J,4
Redump,Slam City with Scottie Pippen (USA) (Disc 4) (Smash) (RE-1),Slam City with Scottie Pippen,Slam City with Scottie Pippen,T-162035,1994.NOV,SEGA GENESIS,(C)T-162,GM,0,J,U
Redump,Slam City with Scottie Pippen (USA) (Disc 4) (Smash) (Sega CD 32X),Slam City with Scottie Pippen,Slam City with Scottie Pippen,T-16204F,1995.FEB,SEGA GENESIS,(C)T-162,GM,0,J,4
Redump,"Slam City with Scottie Pippen (USA, Brazil) (Disc 1) (Fingers) (RE-1)",Slam City with Scottie Pippen,Slam City with Scottie Pippen,T-162035,1994.NOV,SEGA GENESIS,(C)T-162,GM,0,J,U
