Release Type,Name,Game Title,Product Number,Version,Hardware Identifier,Marker ID,Release Date,Device Information,Compatible Peripherals,Compatible Area Symbols
Redump,BackGuiner - Yomigaeru Yuusha-tachi - Hishou-hen - Uragiri no Senjou (Japan) (Disc 1),BACK GUINER YOMIGAERUYUUSYATATI  HISYOUHEN URAGIRINOSENJYOU,T-19907G,V1.001,SEGA SEGASATURN,SEGA TP T-199,19980812,CD-1/2,J,J
Redump,BackGuiner - Yomigaeru Yuusha-tachi - Hishou-hen - Uragiri no Senjou (Japan) (Disc 2),BACK GUINER YOMIGAERUYUUSYATATI  HISYOUHEN URAGIRINOSENJYOU,T-19907G,V1.001,SEGA SEGASATURN,SEGA TP T-199,19980812,CD-2/2,J,J
Redump,BackGuiner - Yomigaeru Yuusha-tachi - Kakusei-hen - Guiner Tensei (Japan) (Disc 1),BACK GUINER YOMIGAERUYUUSYATATI KAKUSEIHEN GUINER TENSEI,T-19906G,V1.001,SEGA SEGASATURN,SEGA TP T-199,19980611,CD-1/2,J,J
Redump,BackGuiner - Yomigaeru Yuusha-tachi - Kakusei-hen - Guiner Tensei (Japan) (Disc 2),BACK GUINER YOMIGAERUYUUSYATATI KAKUSEIHEN GUINER TENSEI,T-19906G,V1.001,SEGA SEGASATURN,SEGA TP T-199,19980611,CD-2/2,J,J
Redump,Bakuretsu Hunter (Japan) (Omake CD),BAKU OMAKE CD,T-22402G,V0.000,SEGA SEGASATURN,SEGA TP T-224,19960223,CD-1/1,J,J
Redump,Bakuretsu Hunter (Japan),BAKURETU,T-22402G,V1.002,SEGA SEGASATURN,SEGA TP T-224,19960315,CD-1/1,J,J
Redump,Bakuretsu Hunter R (Japan),BAKURETU HUNTER R,T-24903G,V1.005,SEGA SEGASATURN,SEGA TP T-249,19970418,CD-1/1,J,J
Redump,Bakushou!! All Yoshimoto Quiz-ou Kettei-sen DX (Japan),YOSHIMOTO QUIZ DX,T-20001G,V1.001,SEGA SEGASATURN,SEGA TP T-200,19951019,CD-1/1,J,JT
Redump,Baroque (Japan),BAROQUE,T-33901G,V1.004,SEGA SEGASATURN,SEGA TP T-339,19980410,CD-1/1,JE,J
Redump,Baroque Report - CD Data File (Japan),BAROQUE REPORT CD DATA FILE,6106848,V1.002,SEGA SEGASATURN,SEGA TP T-339,19971216,CD-1/1,J,J
Redump,Bases Loaded '96 - Double Header (USA),DOUBLE HEADER,T-5703H,V1.001,SEGA SEGASATURN,SEGA TP T-57,19951221,CD-1/1,J,U
Redump,Batman Forever - The Arcade Game (Europe),BATMAN COINOP,T-8140H-50,V1.000,SEGA SEGASATURN,SEGA TP T-81,19961025,CD-1/1,JA,E
Redump,Batman Forever - The Arcade Game (Japan),BATMAN COINOP,T-8118G,V1.000,SEGA SEGASATURN,SEGA TP T-81,19961031,CD-1/1,J,J
Redump,Batman Forever - The Arcade Game (USA),BATMAN COINOP,T-8140H,V1.000,SEGA SEGASATURN,SEGA TP T-81,19961008,CD-1/1,JT,U
Redump,Battle Athletess Daiundoukai (Japan),BATORU ASUREITESU DAIUNDOUKAI,T-24601G,V1.002,SEGA SEGASATURN,SEGA TP T-246,19961030,CD-1/1,J,J
Redump,Battle Monsters (Europe),BATTLE MONSTERS,T-8137H-50,V1.000,SEGA SEGASATURN,SEGA TP T-81,19960805,CD-1/1,J,E
Redump,Battle Monsters (Japan),BATTLE MONSTERS,T-18701G,V1.001,SEGA SEGASATURN,SEGA TP T-187,19950315,CD-1/1,J,JT
Redump,Battle Monsters (USA),BATTLE MONSTERS,T-8137H,V1.000,SEGA SEGASATURN,SEGA TP T-81,19960805,CD-1/1,J,U
Redump,Beach de Riichi! (Japan),BEACH DE REACH,T-29004G,V1.002,SEGA SEGASATURN,SEGA TP T-290,19980708,CD-1/1,J,J
Redump,Bedlam (USA) (Proto) (1997-08-11),BEDLAM,T-25407H45,V1.100,SEGA SEGASATURN,SEGA TP T-254,19970811,CD-1/1,J,U
Redump,Big Ichigeki! Pachi-Slot Daikouryaku - Universal Museum (Japan) (1M),BIG ICHIGEKI        PACHISLOT       DAIKORYAKU    UNIVERSAL         MUSEUM                            FOR JAPAN,T-16704G,V1.000,SEGA SEGASATURN,SEGA TP T-167,19960510,CD-1/1,J,J
Redump,Big Ichigeki! Pachi-Slot Daikouryaku - Universal Museum (Japan) (Rev A) (10M),BIG ICHIGEKI        PACHISLOT       DAIKORYAKU    UNIVERSAL         MUSEUM                            FOR JAPAN,T-16704G,V2.000,SEGA SEGASATURN,SEGA TP T-167,19960709,CD-1/1,J,J
Redump,Big Thanks - Super Keirin - Dream with Keirin 50 Years (Japan),SUPER KEIRIN,6106987,V1.002,SEGA SEGASATURN,SEGA TP T-,19980729,CD-1/1,JT,J
Redump,Bio Hazard (Japan),BIO HAZARD,T-1219G,V1.002,SEGA SEGASATURN,SEGA TP T-12,19970624,CD-1/1,J,J
Redump,Bishoujo Hanafuda Kikou - Michinoku Hitou Koi Monogatari Special (Japan),BISHOUJOHANAFUDAKIKOUMITINOKUHITOUKOIMONOGATARISPECIAL,T-36701G,V1.002,SEGA SEGASATURN,SEGA TP T-367,19970909,CD-1/1,J,J
Redump,BlackFire (Europe),BLACKFIRE,T-7011H-50,V1.000,SEGA SEGASATURN,SEGA TP T-070,19960325,CD-1/1,JA,E
Redump,BlackFire (Japan),BLACKFIRE,T-7003G,V1.001,SEGA SEGASATURN,SEGA TP T-70,19951027,CD-1/1,JA,JT
Redump,BlackFire (USA) (2S),BLACKFIRE,MK-81003,V1.032,SEGA SEGASATURN,SEGA ENTERPRISES,19950831,CD-1/1,JA,U
Redump,BlackFire (USA) (3S),BLACKFIRE,MK-81003,V1.032,SEGA SEGASATURN,SEGA ENTERPRISES,19950831,CD-1/1,JA,U
Redump,Black-Matrix (Japan) (Rerelease),BLACK MATRIX,T-20115G,V1.001,SEGA SEGASATURN,SEGA TP T-201,19981006,CD-1/1,J,J
Redump,Black-Matrix (Japan),BLACK MATRIX,T-20113G,V1.000,SEGA SEGASATURN,SEGA TP T-201,19980629,CD-1/1,J,J
Redump,Blazing Dragons (Europe),BLAZING DRAGONS,T-15913H50,V1.000,SEGA SEGASATURN,SEGA TP T-159,19960802,CD-1/1,J,E
Redump,Blazing Dragons (France),BLAZING DRAGONS,T-15913H09,V1.000,SEGA SEGASATURN,SEGA TP T-159,19960724,CD-1/1,J,E
Redump,Blazing Dragons (Germany),BLAZING DRAGONS,T-15913H18,V1.000,SEGA SEGASATURN,SEGA TP T-159,19960719,CD-1/1,J,E
Redump,Blazing Dragons (USA),BLAZING DRAGONS,T-15907H,V1.000,SEGA SEGASATURN,SEGA TP T-159,19960719,CD-1/1,J,U
Redump,Blazing Heroes (USA),BLAZING HEROES,MK-81303,V1.000,SEGA SEGASATURN,SEGA ENTERPRISES,19960712,CD-1/1,J,U
Redump,Blue Breaker - Ken yori mo Hohoemi o (Japan) (Demo),BLUE BREAKER,6106719,V0.008,SEGA SEGASATURN,SEGA TP T-43,19961228,CD-1/1,J,J
Redump,Blue Breaker - Ken yori mo Hohoemi o (Japan),BLUE BREAKER,T-4315G,V1.004,SEGA SEGASATURN,SEGA TP T-43,19971025,CD-1/1,J,J
Redump,Bomberman Wars (Japan),BOMBERMAN WARS,T-14320G,V1.000,SEGA SEGASATURN,SEGA TP T-143,19971217,CD-1/1,J,J
Redump,Bootleg Sampler (USA) (15S),BOOTLEG SAMPLER,MK-81031,V1.006,SEGA SEGASATURN,SEGA ENTERPRISES,19951026,CD-1/1,J,UT
Redump,"Bootleg Sampler (USA) (8S, 9S, 17S)",BOOTLEG SAMPLER,MK-81031,V1.006,SEGA SEGASATURN,SEGA ENTERPRISES,19951026,CD-1/1,J,UT
Redump,Bootleg Sampler (USA),BOOTLEG SAMPLER,MK-81031,V1.006,SEGA SEGASATURN,SEGA ENTERPRISES,19951026,CD-1/1,J,UT
Redump,Bottom of the 9th (USA),U:Bottom of the 9th/J:Bottom of the 9th - major league heroes -,T-9505H,V1.000,SEGA SEGASATURN,SEGA TP T-95,19960830,CD-1/1,J,U
Redump,Bouken Katsugeki Monomono (Japan) (Demo),MONOMONO,6106611,V0.101,SEGA SEGASATURN,SEGA TP T-215,19970423,CD-1/1,J,J
Redump,Bouken Katsugeki Monomono (Japan),MONOMONO,T-21508G,V1.000,SEGA SEGASATURN,SEGA TP T-215,19970608,CD-1/1,J,J
Redump,BrainDead 13 (Japan),BRAINDEAD_13,T-7305G,V1.000,SEGA SEGASATURN,SEGA TP T-73,19960823,CD-1/1,JT,J
Redump,BrainDead 13 (USA),BRAINDEAD_13,T-12103H,V1.000,SEGA SEGASATURN,SEGA TP T-121,19960819,CD-1/1,JT,U
Redump,"Break Point (Europe) (En,Fr)",BREAK POINT,T-16408H,V1.001,SEGA SEGASATURN,SEGA TP T-164,19961028,CD-1/1,JT,E
Redump,Break Point (Japan),BREAK POINT,T-9107G,V1.001,SEGA SEGASATURN,SEGA TP T-91,19970424,CD-1/1,JT,J
Redump,Break Point Tennis (USA),BREAK POINT TENNIS,T-8145H,V1.000,SEGA SEGASATURN,SEGA TP T-81,19961017,CD-1/1,JT,U
Redump,BreakThru! (Japan),BREAK THROU,T-21501G,V1.000,SEGA SEGASATURN,SEGA TP P-215,19950801,CD-1/1,JM,J
Redump,Bubble Bobble also featuring Rainbow Islands (Europe),BUBBLE BOBBLE,T-8131H-50,V1.000,SEGA SEGASATURN,SEGA TP T-81,19960812,CD-1/1,J,E
Redump,Bubble Bobble also featuring Rainbow Islands (USA),BUBBLE BOBBLE,T-8131H,V1.000,SEGA SEGASATURN,SEGA TP T-81,19960812,CD-1/1,J,U
Redump,Bubble Symphony (Japan),BUBBLE SYMPHONY,T-19905G,V1.001,SEGA SEGASATURN,SEGA TP T-199,19971007,CD-1/1,J,J
Redump,Bulk Slash (Japan),BULK SLASH,T-14310G,V1.001,SEGA SEGASATURN,SEGA TP T-143,19970424,CD-1/1,J,J
Redump,Burning Rangers (Europe),BURNING RANGERS,MK-81803,V1.001,SEGA SEGASATURN,SEGA ENTERPRISES,19980506,CD-1/1,JE,E
