Release Type,Name,Title,Localized Title,Serial
Redump,"Agent Hugo - Hula Holiday (Europe) (En,Fr,De,Es,It,Nl,Pt)",Agent Hugo - Hula Holiday,,SLES-55365
Redump,Agent Hugo - Hula Holiday (Russia),Agent Hugo - Hula Holiday,,SLES-55366
Redump,"Agent Hugo - Hula Holiday (Scandinavia) (En,Sv,No,Da,Fi)",Agent Hugo - Hula Holiday,,SLES-55364
Redump,"Agent Hugo - Lemoon Twist (Europe) (En,Fr,De,Es,It,Nl,Pt)",Agent Hugo - Lemoon Twist,,SLES-54918
Redump,Agent Hugo - Lemoon Twist (Russia),Agent Hugo - Lemoon Twist,,SLES-54919
Redump,"Agent Hugo - Lemoon Twist (Scandinavia) (En,Sv,No,Da,Fi)",Agent Hugo - Lemoon Twist,,SLES-54917
Redump,"Agent Hugo - RoboRumble (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi)",Agent Hugo - RoboRumble,,SLES-54212
Redump,Agent Hugo - RoboRumble (Poland),Agent Hugo - RoboRumble,,SLES-54520
Redump,"Agent Hugo (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi)",Agent Hugo,,SLES-53504
Redump,Agent Hugo (Russia),Agent Hugo,,SLES-53910
Redump,Aggressive Inline (Europe) (Demo),Aggressive Inline,,SLED-51074
Redump,"Aggressive Inline (Europe) (En,Fr,De,Es)",Aggressive Inline,,SLES-50480
Redump,Aggressive Inline (USA),Aggressive Inline,,SLUS-20327
Redump,Aggressive Inline (USA) (Demo),Aggressive Inline [Demo],,SLUS-29021
Redump,AH-64D Apache (Japan) (Beta) (2003-03-26),AH-64D Apache,AH-64D Apache,SLPS-20000
Redump,AI Igo 2003 (Japan),AI囲碁2003,AI Igo 2003,SLPM-62329
Redump,AI Mahjong 2003 (Japan),AI麻雀2003,AI Mahjong 2003,SLPM-62330
Redump,AI Shougi 2003 (Japan),AI将棋2003,AI Shougi 2003,SLPM-62323
Redump,Ai yori Aoshi (Japan),藍より青し [通常版],Ai Yori Aoshi [Standard Edition],SLPS-25225
Redump,Ai yori Aoshi (Japan) (Shokai Genteiban),藍より青し [初回限定版],Ai yori Aoshi [First Limited Edition],SLPS-25224
Redump,Aikagi - Nukumori to Hidamari no Naka de (Japan),あいかぎ ～ぬくもりとひだまりの中で～,Aikagi,SLPS-25274
Redump,Aikagi - Nukumori to Hidamari no Naka de (Japan),あいかぎ ～ぬくもりとひだまりの中で～ [ベスト版],Aikagi [Best Version],SLPM-65922
Redump,Air (Japan),AIR [ベスト版],Air [Best],SLPM-65844
Redump,Air (Japan),AIR [ベスト版],AIR [Best],SLPM-66982
Redump,Air (Japan),AIR,Air,SLPS-25127
Redump,Air Raid 3 (Europe),Air Raid 3,,SLES-53772
Redump,Air Ranger - Rescue Helicopter (Europe),Air Ranger - Rescue Helicopter,,SLES-50953
Redump,Air Ranger - Rescue Helicopter (Japan),レスキューヘリ エアレンジャー,Air Ranger - Rescue Helicopter,SLPS-20083
Redump,Air Ranger 2 - Rescue Helicopter (Japan),レスキューヘリ エアレンジャー2  [わくわくプライス],Air Ranger 2 - Rescue Helicopter [WakWak Price],SLPM-65325
Redump,Air Ranger 2 - Rescue Helicopter (Japan),レスキューヘリ エアレンジャー2,Air Ranger 2 - Rescue Helicopter,SLPS-25098
Redump,Air Ranger 2 - Rescue Helicopter (Korea),Air Ranger 2 - Rescue Helicopter,,SLKA-25052
Redump,Air Ranger 2 Plus - Rescue Helicopter (Japan),レスキューヘリ エアレンジャー2 plus,Air Ranger 2 Plus - Rescue Helicopter,SLPM-65409
Redump,"AirBlade (Europe) (En,Fr,De,Es,It) (Beta) (2001-09-16)",AirBlade,,SCES-50246
Redump,"AirBlade (Europe, Australia) (En,Fr,De,Es,It)",AirBlade,,SCES-50246
Redump,AirBlade (USA),AirBlade,,SLUS-20346
Redump,AirBlade (USA) (Demo),AirBlade [Demo],,SLUS-29017
Redump,"Airborne Troops - Countdown to D-Day (Europe) (En,Fr,Es,It)",Airborne Troops - Countdown to D-Day,,SLES-52939
Redump,Airborne Troops - Countdown to D-Day (USA),Airborne Troops - Countdown to D-Day,,SLUS-21125
Redump,AirForce Delta - Blue Wing Knights (Japan),エアフォースデルタ ブルーウイングナイツ,Airforce Delta - Blue Wing Knights,SLPM-65486
Redump,AirForce Delta - Blue Wing Knights (Japan),エアフォースデルタ ブルーウィングナイツ [KONAMI The BEST],Airforce Delta - Blue Wing Knights [KONAMI The BEST],SLPM-65722
Redump,AirForce Delta Strike (Korea),에어포스 델타 스트라이크,Airforce Delta Strike,SLKA-25133
Redump,AirForce Delta Strike (USA),Airforce - Delta Strike,,SLUS-20703
Redump,Akagawa Jirou - Tsuki no Hikari - Shizumeru Kane no Satsujin (Japan),月の光 ～沈める鐘の殺人～,Akagawa Jirou - Tsuki no Hikari - Shizumeru Kane no Satsujin,SLPS-20196
Redump,Akagi - Yami ni Oritatta Tensai (Japan),アカギ ～闇に降り立った天才～,Akagi - Yami ni Oritatta Tensai,SLPM-62269
Redump,Akane-iro ni Somaru Saka - Parallel (Japan),あかね色に染まる坂 ぱられる,Akane-iro ni Somaru Saka - Parallel,SLPM-55006
Redump,Akira Psycho Ball (Europe),Akira Psycho Ball,,SLES-50919
Redump,Akira Psycho Ball (Japan),AKIRA PSYCHO BALL,Akira Psycho Ball,SLPS-20150
Redump,Akudaikan (Japan),悪代官,Akudaikan,SLPM-65151
Redump,Akudaikan (Japan),悪代官 [GLOBAL The Best],Akudaikan [Global The Best],SLPM-65339
Redump,Akudaikan 2 - Mousouden (Japan),悪代官2 ～妄想伝～ [GLOBAL The Best],Akudaikan 2 - Mousouden [Global The Best],SLPM-65620
Redump,Akudaikan 3 (Japan),悪代官3 [PlayStation2 The Best],Akudaikan 3 [PlayStation2 The Best],SLPM-55145
Redump,"Akumajou Dracula - Yami no Juin (Japan) (En,Ja)",悪魔城ドラキュラ 闇の呪印,Akumajou Dracula - Yami no Juin,SLPM-66175
Redump,"Akumajou Dracula - Yami no Juin (Japan) (En,Ja)",悪魔城ドラキュラ 闇の呪印 [KONAMI the Best],Akumajou Dracula - Yami no Juin [KONAMI The BEST],SLPM-66668
Redump,Akumajou Dracula - Yami no Juin (Japan) (Tentou Taikenban),悪魔城ドラキュラ 闇の呪印 [店頭体験版],Akumajo Dracula - Yami no Juin [Store Demo],SLPM-61138
Redump,"Alan Hansen's Sports Challenge (Europe) (En,Fr,De,Es,It)",Alan Hansen's Sports Challenge,,SLES-54958
Redump,"Alarm for Cobra 11 - Vol. II (Europe) (En,De)",Alarm for Cobra 11 - Vol. II,,SLES-52920
Redump,"Alarm for Cobra 11 (Europe) (En,De)",Alarm for Cobra 11,,SLES-52063
Redump,Alarm for Cobra 11 Vol. 2 - Hot Pursuit (Europe),Alarm for Cobra 11 Vol.2 - Hot Pursuit,,SLES-53360
Redump,Alex Ferguson's Player Manager 2001 (Europe),Alex Ferguson's Player Manager 2001,,SLES-50429
Redump,Alfa Romeo Racing Italiano (USA),Squadra Course Alfa Romeo,,SLUS-21321
Redump,Alias (Europe) (Demo),Alias [Demo],,SLED-52485
